bowler,season_year,bowling_team,matches,total_wickets,total_runs,total_balls,overs,economy,bowling_avg,bowling_sr
Mohsin Khan,2024,Lucknow Super Giants,10,10,385,228,38.0,10.13,38.5,22.8
Mujeeb Ur Rahman,2018,Kings XI Punjab,11,14,289,248,41.3,7.0,20.64,17.71
Mukesh Choudhary,2022,Chennai Super Kings,13,16,424,273,45.5,9.32,26.5,17.06
Mukesh Kumar,2023,Delhi Capitals,10,8,326,186,31.0,10.52,40.75,23.25
Mukesh Kumar,2024,Delhi Capitals,10,17,368,213,35.5,10.37,21.65,12.53
Mukesh Kumar,2025,Delhi Capitals,12,12,408,237,39.5,10.33,34.0,19.75
Mustafizur Rahman,2016,Sunrisers Hyderabad,16,17,421,366,61.0,6.9,24.76,21.53
Mustafizur Rahman,2018,Mumbai Indians,7,7,230,165,27.5,8.36,32.86,23.57
Mustafizur Rahman,2021,Rajasthan Royals,14,14,436,311,51.8,8.42,31.14,22.21
Mustafizur Rahman,2022,Delhi Capitals,8,8,244,192,32.0,7.62,30.5,24.0
Mustafizur Rahman,2024,Chennai Super Kings,9,14,318,206,34.3,9.27,22.71,14.71
N Thushara,2024,Mumbai Indians,7,8,257,156,26.0,9.88,32.12,19.5
NLTC Perera,2013,Sunrisers Hyderabad,16,19,478,358,59.7,8.01,25.16,18.84
NLTC Perera,2016,Rising Pune Supergiants,11,9,326,199,33.2,9.82,36.22,22.11
NM Coulter-Nile,2015,Delhi Daredevils,11,15,321,255,42.5,7.55,21.4,17.0
NM Coulter-Nile,2017,Kolkata Knight Riders,8,15,228,170,28.3,8.06,15.2,11.33
NM Coulter-Nile,2020,Mumbai Indians,7,5,206,156,26.0,7.92,41.2,31.2
NM Coulter-Nile,2021,Mumbai Indians,5,7,127,120,20.0,6.35,18.14,17.14
NT Ellis,2023,Punjab Kings,10,13,339,228,38.0,8.92,26.08,17.54
Navdeep Saini,2019,Royal Challengers Bangalore,13,11,397,288,48.0,8.27,36.09,26.18
Navdeep Saini,2020,Royal Challengers Bangalore,13,7,385,280,46.7,8.24,55.0,40.0
Naveen-ul-Haq,2023,Lucknow Super Giants,7,11,219,168,28.0,7.82,19.91,15.27
Naveen-ul-Haq,2024,Lucknow Super Giants,10,14,372,219,36.5,10.19,26.57,15.64
Noor Ahmad,2023,Gujarat Titans,13,16,369,283,47.2,7.82,23.06,17.69
Noor Ahmad,2024,Gujarat Titans,10,8,290,209,34.8,8.33,36.25,26.12
Noor Ahmad,2025,Chennai Super Kings,14,24,408,300,50.0,8.16,17.0,12.5
OC McCoy,2022,Rajasthan Royals,7,11,237,155,25.8,9.19,21.55,14.09
P Amarnath,2007,Chennai Super Kings,6,7,236,132,22.0,10.73,33.71,18.86
P Awana,2012,Kings XI Punjab,12,17,372,282,47.0,7.91,21.88,16.59
P Awana,2013,Kings XI Punjab,14,15,412,324,54.0,7.63,27.47,21.6
P Awana,2014,Kings XI Punjab,7,7,245,141,23.5,10.43,35.0,20.14
P Kumar,2007,Royal Challengers Bangalore,13,11,366,268,44.7,8.19,33.27,24.36
P Kumar,2009,Royal Challengers Bangalore,25,23,774,568,94.7,8.17,33.65,24.7
P Kumar,2011,Kings XI Punjab,13,10,345,276,46.0,7.5,34.5,27.6
P Kumar,2012,Kings XI Punjab,16,9,434,378,63.0,6.89,48.22,42.0
P Kumar,2013,Kings XI Punjab,15,12,373,338,56.3,6.63,31.08,28.17
P Kumar,2015,Sunrisers Hyderabad,12,7,329,216,36.0,9.14,47.0,30.86
P Kumar,2016,Gujarat Lions,16,9,401,309,51.5,7.79,44.56,34.33
P Negi,2012,Delhi Daredevils,6,7,152,132,22.0,6.91,21.71,18.86
P Negi,2015,Chennai Super Kings,10,6,252,180,30.0,8.4,42.0,30.0
P Negi,2017,Royal Challengers Bangalore,12,16,197,193,32.2,6.12,12.31,12.06
PC Valthaty,2011,Kings XI Punjab,9,7,189,145,24.2,7.81,27.0,20.71
PJ Cummins,2017,Delhi Daredevils,12,15,373,277,46.2,8.07,24.87,18.47
PJ Cummins,2020,Kolkata Knight Riders,14,12,409,312,52.0,7.87,34.08,26.0
PJ Cummins,2021,Kolkata Knight Riders,7,9,237,161,26.8,8.84,26.33,17.89
PJ Cummins,2024,Sunrisers Hyderabad,16,18,566,366,61.0,9.28,31.44,20.33
PJ Cummins,2025,Sunrisers Hyderabad,14,16,450,298,49.7,9.05,28.12,18.62
PJ Sangwan,2007,Delhi Daredevils,7,5,215,144,24.0,8.96,43.0,28.8
PJ Sangwan,2009,Delhi Daredevils,21,24,618,466,77.7,7.95,25.75,19.42
PP Chawla,2007,Kings XI Punjab,15,17,389,281,46.8,8.31,22.88,16.53
PP Chawla,2009,Kings XI Punjab,28,24,675,563,93.8,7.2,28.12,23.46
PP Chawla,2011,Kings XI Punjab,12,16,336,248,41.3,8.14,21.0,15.5
PP Chawla,2012,Kings XI Punjab,16,16,419,342,57.0,7.35,26.19,21.38
PP Chawla,2013,Kings XI Punjab,16,11,418,350,58.3,7.17,38.0,31.82
PP Chawla,2014,Kolkata Knight Riders,11,14,303,237,39.5,7.67,21.64,16.93
PP Chawla,2015,Kolkata Knight Riders,13,11,269,210,35.0,7.69,24.45,19.09
PP Chawla,2016,Kolkata Knight Riders,11,11,273,212,35.3,7.73,24.82,19.27
PP Chawla,2017,Kolkata Knight Riders,6,6,179,120,20.0,8.95,29.83,20.0
PP Chawla,2018,Kolkata Knight Riders,15,14,412,294,49.0,8.41,29.43,21.0
PP Chawla,2019,Kolkata Knight Riders,13,10,399,267,44.5,8.97,39.9,26.7
PP Chawla,2020,Chennai Super Kings,7,6,191,126,21.0,9.1,31.83,21.0
PP Chawla,2023,Mumbai Indians,16,22,495,366,61.0,8.11,22.5,16.64
PP Chawla,2024,Mumbai Indians,11,13,312,210,35.0,8.91,24.0,16.15
PP Ojha,2007,Deccan Chargers,12,11,284,222,37.0,7.68,25.82,20.18
PP Ojha,2009,Deccan Chargers,31,39,777,674,112.3,6.92,19.92,17.28
PP Ojha,2011,Deccan Chargers,10,10,267,221,36.8,7.26,26.7,22.1
PP Ojha,2012,Mumbai Indians,9,9,220,180,30.0,7.33,24.44,20.0
PP Ojha,2013,Mumbai Indians,15,16,381,314,52.3,7.28,23.81,19.62
PP Ojha,2014,Mumbai Indians,12,4,380,276,46.0,8.26,95.0,69.0
PV Tambe,2014,Rajasthan Royals,13,15,356,294,49.0,7.27,23.73,19.6
PV Tambe,2015,Rajasthan Royals,10,7,266,204,34.0,7.82,38.0,29.14
PVD Chameera,2022,Lucknow Super Giants,12,9,384,264,44.0,8.73,42.67,29.33
PWH de Silva,2022,Royal Challengers Bangalore,16,26,430,342,57.0,7.54,16.54,13.15
PWH de Silva,2023,Royal Challengers Bangalore,8,9,258,174,29.0,8.9,28.67,19.33
PWH de Silva,2025,Rajasthan Royals,11,11,371,246,41.0,9.05,33.73,22.36
Pankaj Singh,2012,Rajasthan Royals,6,7,170,126,21.0,8.1,24.29,18.0
Prince Yadav,2025,Lucknow Super Giants,6,3,225,137,22.8,9.87,75.0,45.67
R Ashwin,2009,Chennai Super Kings,13,15,306,312,52.0,5.88,20.4,20.8
R Ashwin,2011,Chennai Super Kings,16,20,388,378,63.0,6.16,19.4,18.9
R Ashwin,2012,Chennai Super Kings,18,14,431,395,65.8,6.55,30.79,28.21
R Ashwin,2013,Chennai Super Kings,18,15,390,348,58.0,6.72,26.0,23.2
R Ashwin,2014,Chennai Super Kings,16,16,437,359,59.8,7.31,27.31,22.44
R Ashwin,2015,Chennai Super Kings,13,10,228,234,39.0,5.85,22.8,23.4
R Ashwin,2016,Rising Pune Supergiants,14,10,319,264,44.0,7.25,31.9,26.4
R Ashwin,2018,Kings XI Punjab,14,10,410,304,50.7,8.09,41.0,30.4
R Ashwin,2019,Kings XI Punjab,14,15,400,330,55.0,7.27,26.67,22.0
R Ashwin,2020,Delhi Capitals,15,13,391,306,51.0,7.67,30.08,23.54
R Ashwin,2021,Delhi Capitals,13,7,331,268,44.7,7.4,47.29,38.29
R Ashwin,2022,Rajasthan Royals,17,12,503,402,67.0,7.51,41.92,33.5
R Ashwin,2023,Rajasthan Royals,13,14,368,294,49.0,7.51,26.29,21.0
R Ashwin,2024,Rajasthan Royals,14,9,467,330,55.0,8.49,51.89,36.67
R Ashwin,2025,Chennai Super Kings,9,7,283,186,31.0,9.13,40.43,26.57
