batter,season_year,batting_team,matches,total_runs,total_balls,highest_score,fifties,hundreds,ducks,innings,batting_avg,strike_rate
RA Tripathi,2025,Chennai Super Kings,5,55,57,23,0,0,0,5,11.0,96.49
RD Chahar,2017,Rising Pune Supergiant,1,3,2,3,0,0,0,1,3.0,150.0
RD Chahar,2019,Mumbai Indians,4,12,11,10,0,0,1,4,3.0,109.09
RD Chahar,2020,Mumbai Indians,1,2,4,2,0,0,0,1,2.0,50.0
RD Chahar,2021,Mumbai Indians,4,14,15,8,0,0,2,4,3.5,93.33
RD Chahar,2022,Punjab Kings,8,77,68,25,0,0,2,8,9.62,113.24
RD Chahar,2023,Punjab Kings,2,0,9,0,0,0,2,2,0.0,0.0
RD Chahar,2024,Punjab Kings,2,21,15,16,0,0,0,2,10.5,140.0
RD Gaikwad,2020,Chennai Super Kings,6,204,169,72,3,0,2,6,34.0,120.71
RD Gaikwad,2021,Chennai Super Kings,16,635,466,101,4,1,0,16,39.69,136.27
RD Gaikwad,2022,Chennai Super Kings,14,368,291,99,3,0,2,14,26.29,126.46
RD Gaikwad,2023,Chennai Super Kings,15,590,400,92,4,0,0,15,39.33,147.5
RD Gaikwad,2024,Chennai Super Kings,14,583,413,108,4,1,2,14,41.64,141.16
RD Gaikwad,2025,Chennai Super Kings,5,122,81,63,2,0,1,5,24.4,150.62
RD Rickelton,2025,Mumbai Indians,14,388,257,62,3,0,0,14,27.71,150.97
RE Levi,2012,Mumbai Indians,6,83,73,50,1,0,2,6,13.83,113.7
RE van der Merwe,2009,Royal Challengers Bangalore,9,123,100,35,0,0,0,9,13.67,123.0
RE van der Merwe,2011,Delhi Daredevils,4,14,16,8,0,0,0,4,3.5,87.5
RE van der Merwe,2013,Delhi Daredevils,2,22,25,14,0,0,0,2,11.0,88.0
RG More,2015,Chennai Super Kings,1,2,2,2,0,0,0,1,2.0,100.0
RG Sharma,2007,Deccan Chargers,12,404,273,76,4,0,1,12,33.67,147.99
RG Sharma,2009,Deccan Chargers,32,766,617,73,4,0,1,32,23.94,124.15
RG Sharma,2011,Mumbai Indians,13,372,297,87,3,0,0,13,28.62,125.25
RG Sharma,2012,Mumbai Indians,16,433,342,109,3,1,2,16,27.06,126.61
RG Sharma,2013,Mumbai Indians,19,538,409,79,4,0,0,19,28.32,131.54
RG Sharma,2014,Mumbai Indians,15,390,302,59,3,0,0,15,26.0,129.14
RG Sharma,2015,Mumbai Indians,16,482,333,98,3,0,2,16,30.12,144.74
RG Sharma,2016,Mumbai Indians,14,489,368,85,5,0,1,14,34.93,132.88
RG Sharma,2017,Mumbai Indians,16,333,273,67,3,0,1,16,20.81,121.98
RG Sharma,2018,Mumbai Indians,14,286,215,94,2,0,3,14,20.43,133.02
RG Sharma,2019,Mumbai Indians,15,405,315,67,2,0,0,15,27.0,128.57
RG Sharma,2020,Mumbai Indians,12,334,263,80,3,0,1,12,27.83,127.0
RG Sharma,2021,Mumbai Indians,13,381,299,63,1,0,0,13,29.31,127.42
RG Sharma,2022,Mumbai Indians,14,268,223,48,0,0,1,14,19.14,120.18
RG Sharma,2023,Mumbai Indians,16,332,250,65,2,0,2,16,20.75,132.8
RG Sharma,2024,Mumbai Indians,14,417,278,105,1,1,1,14,29.79,150.0
RG Sharma,2025,Mumbai Indians,15,418,280,81,4,0,1,15,27.87,149.29
RJ Gleeson,2024,Chennai Super Kings,1,2,2,2,0,0,0,1,2.0,100.0
RJ Harris,2009,Deccan Chargers,10,66,57,15,0,0,0,10,6.6,115.79
RJ Harris,2011,Kings XI Punjab,7,31,39,17,0,0,1,7,4.43,79.49
RJ Harris,2012,Kings XI Punjab,2,18,11,15,0,0,0,2,9.0,163.64
RJ Harris,2013,Kings XI Punjab,2,2,5,2,0,0,1,2,1.0,40.0
RJ Peterson,2012,Mumbai Indians,5,32,30,16,0,0,1,5,6.4,106.67
RJ Quiney,2009,Rajasthan Royals,7,103,102,51,1,0,0,7,14.71,100.98
RJW Topley,2024,Royal Challengers Bengaluru,1,3,6,3,0,0,0,1,3.0,50.0
RK Bhui,2018,Sunrisers Hyderabad,1,0,5,0,0,0,1,1,0.0,0.0
RK Bhui,2019,Sunrisers Hyderabad,1,7,12,7,0,0,0,1,7.0,58.33
RK Bhui,2024,Delhi Capitals,2,3,9,3,0,0,1,2,1.5,33.33
RK Singh,2018,Kolkata Knight Riders,4,29,31,16,0,0,0,4,7.25,93.55
RK Singh,2019,Kolkata Knight Riders,3,37,34,30,0,0,0,3,12.33,108.82
RK Singh,2020,Kolkata Knight Riders,1,11,11,11,0,0,0,1,11.0,100.0
RK Singh,2022,Kolkata Knight Riders,7,174,117,42,0,0,0,7,24.86,148.72
RK Singh,2023,Kolkata Knight Riders,14,474,317,67,4,0,0,14,33.86,149.53
RK Singh,2024,Kolkata Knight Riders,11,168,113,26,0,0,0,11,15.27,148.67
